Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
short-sleeve-unisex-t-shirt-1,,,,,,,,L,,,,,'1720234,164,,deny,printful,24.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-4e97ac22.jpg?v=1543202518,oz,,
short-sleeve-unisex-t-shirt-1,,,,,,,,XL,,,,,'9705204,170,,deny,printful,24.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-4e97ac22.jpg?v=1543202518,oz,,
short-sleeve-unisex-t-shirt-1,,,,,,,,2XL,,,,,'4312424,201,,deny,printful,24.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-4e97ac22.jpg?v=1543202518,oz,,
short-sleeve-unisex-t-shirt-1,,,,,,,,3XL,,,,,'8271124,213,,deny,printful,29.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-4e97ac22.jpg?v=1543202518,oz,,
short-sleeve-unisex-t-shirt-1,,,,,,,,4XL,,,,,'3507570,255,,deny,printful,29.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-4e97ac22.jpg?v=1543202518,oz,,
mosaic-emerald-tree-boa,Reptilinks Mosaic Emerald Tree Boa,"Soft, lightweight and comfortable tee design for any jungle.<br> <br> • 100% combed ring-spun cotton (Heather colors contain polyester)<br> • Fabric weight: 4.3 oz (146 g/m2)<br> • Pre-shrunk<br>
<p><strong>Size guide</strong></p>
<div class=""table-responsive dynamic"" data-unit-system=""imperial"">
<table cellpadding=""5"">
<tbody>
<tr>
<td> </td>
<td><strong>XS</strong></td>
<td><strong>S</strong></td>
<td><strong>M</strong></td>
<td><strong>L</strong></td>
<td><strong>XL</strong></td>
<td><strong>2XL</strong></td>
<td><strong>3XL</strong></td>
</tr>
<tr>
<td><strong>Body Length (inches) </strong></td>
<td>27</td>
<td>28</td>
<td>29</td>
<td>30</td>
<td>31</td>
<td>32</td>
<td>33</td>
</tr>
<tr>
<td><strong>Body Width (inches) </strong></td>
<td>17 ½</td>
<td>19</td>
<td>20 ½</td>
<td>22</td>
<td>24</td>
<td>26</td>
<td>28</td>
</tr>
</tbody>
</table>
</div>",Reptilinks,,spo-disabled,TRUE,Color,Black,Size,XS,,,'6391817,128,,deny,printful,24.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-6bedfcdd.png?v=1539575760,1,Reptilinks Mosaic Emerald Tree Boa - Reptilinks,FALSE,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-6bedfcdd.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Black,,S,,,'9237404,133,,deny,printful,24.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-38e02fb6.png?v=1539575760,2,Reptilinks Mosaic Emerald Tree Boa - Reptilinks,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-6bedfcdd.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Black,,M,,,'6016595,162,,deny,printful,24.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-1c864ee7.png?v=1539575760,3,Reptilinks Mosaic Emerald Tree Boa - Reptilinks,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-6bedfcdd.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Black,,L,,,'8447157,170,,deny,printful,24.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0cdadd50.png?v=1539575760,4,Reptilinks Mosaic Emerald Tree Boa - Reptilinks,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-6bedfcdd.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Black,,XL,,,'3822927,187,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-6bedfcdd.png?v=1539575760,oz,,
